,Issue #,Framework,same code,same data,DL Stage,Impacts,General Code Error Type,Root Causes,Manifestation
0,2,pytorch,yes,yes,modeling,bad performance (lower accuracy),timing/optimization,model/weight,reproducibility defects
1,2,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,loss function,evolutionary defects
2,2,pytorch,yes,yes,training,bad performance (lower accuracy),assignment/initialization,loss function,evolutionary defects
3,2,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,optimizer,evolutionary defects
4,2,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,optimizer,evolutionary defects
5,2,caffe,yes,no,environment,crash,external interface,gpu usage bug,basic defects
6,3,pytorch,yes,yes,environment,crash,external interface,api defects,basic defects
7,5,caffe2,yes,no,environment,memory exhaustion,assignment/initialization,gpu usage bug,evolutionary defects
8,6,pytorch,yes,yes,training,bad performance (lower accuracy),internal interface,loss function,reproducibility defects
9,6,pytorch,yes,yes,data pipeline,bad performance (lower accuracy),internal interface,evaluation,reproducibility defects
10,7,caffe,yes,not mentioned,environment,crash,internal interface,api defects,basic defects
11,8,caffe,yes,yes,environment,crash,non-functional defects,api defects,basic defects
12,9,pytorch,yes,yes,environment,crash,internal interface,other,basic defects
13,9,keras,yes,not mentioned,environment,crash,internal interface,wrong environment configuration,basic defects
14,9,caffe,no,no,data pipeline,low frequency type,assignment/initialization,training data quality,basic defects
15,16,tensorflow,yes,yes,training,bad performance (lower accuracy),algorithm/method,loss function,reproducibility defects
16,16,tensorflow,yes,yes,data pipeline,bad performance (lower accuracy),algorithm/method,data preprocessing bugs,reproducibility defects
17,20,caffe2,yes,yes,environment,crash,external interface,api defects,basic defects
18,21,pytorch,yes,yes,environment,crash,external interface,gpu usage bug,evolutionary defects
19,22,pytorch,no,no,modeling,crash,internal interface,model/weight,basic defects
20,22,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,loss function,evolutionary defects
21,28,pytorch,yes,no,data pipeline,crash,data structure,data preprocessing bugs,basic defects
22,29,pytorch,yes,yes,environment,crash,external interface,wrong environment configuration,basic defects
23,30,keras,yes,no,training,numerical instability,algorithm/method,training configurations,evolutionary defects
