,Issue #,Framework,same code,same data,DL Stage,Impacts,General Code Error Type,DL Specific Error Type,Manifestation
0,2,pytorch,yes,yes,modeling,bad performance (lower accuracy),timing/optimization,model/weight,reproducibility defects
1,2,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,loss function ,evolutionary defects
2,2,pytorch,yes,yes,training,bad performance (lower accuracy),assignment/initialization,optimizer,evolutionary defects
3,2,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,optimizer,evolutionary defects
4,2,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,loss function ,evolutionary defects
5,6,pytorch,yes,yes,training,bad performance (lower accuracy),internal interface,evaluation,reproducibility defects
6,6,pytorch,yes,yes,training,other,assignment/initialization,hyperparameters,evolutionary defects
7,16,tensorflow,yes,yes,data pipeline,other,assignment/initialization,data preprocessing bugs,reproducibility defects
8,16,tensorflow,yes,yes,training,bad performance (lower accuracy),algorithm/method,loss function ,reproducibility defects
9,21,pytorch,yes,yes,training,crash,external interface,gpu usage bug,evolutionary defects
10,22,pytorch,no,no,modeling,crash,internal interface,model/weight,basic defects
11,22,pytorch,no,yes,training,bad performance (lower accuracy),algorithm/method,loss function ,reproducibility defects
12,30,keras,yes,no,training,numerical instability,algorithm/method,training configuration,evolutionary defects
13,41,pytorch,yes,not mentioned,modeling,crash,external interface,gpu usage bug,basic defects
14,45,pytorch,no,no,modeling,bad performance (lower accuracy),timing/optimization,model/weight,evolutionary defects
15,47,keras,not mentioned,no,training,bad performance (lower accuracy),assignment/initialization,model/weight,evolutionary defects
16,48,keras,yes,not mentioned,modeling,crash,assignment/initialization,model/weight,basic defects
17,55,keras,not mentioned,no,training,crash,internal interface,corrupt data,basic defects
18,86,pytorch,no,no,training,incorrect functionality,assignment/initialization,model/weight,evolutionary defects
19,92,pytorch,yes,yes,training,bad performance (lower accuracy),timing/optimization,other,reproducibility defects
20,95,pytorch,not mentioned,no,training,incorrect functionality,external interface,api defects,basic defects
21,104,pytorch,yes,not mentioned,environment,crash,internal interface,nan,basic defects
22,110,pytorch,yes,yes,data pipeline,crash,assignment/initialization,data preprocessing bugs,basic defects
23,145,pytorch,yes,no,training,crash,assignment/initialization,hyperparameters,basic defects
